session_id,start_time,end_time,duration_minutes,total_raw_rows,active_raw_rows,max_current_A,max_voltage_V
1,2024-08-12T09:22:15+00:00,2024-08-12T09:26:30+00:00,4.25,62,1,4.0,373.0
2,2024-08-12T11:56:26+00:00,2024-08-12T11:56:26+00:00,0.0,1,0,0.0,343.0
3,2024-08-14T13:56:42+00:00,2024-08-14T13:57:53+00:00,1.18,13,0,0.0,5.0
4,2024-08-15T06:11:39+00:00,2024-08-15T07:17:56+00:00,66.28,862,553,255.0,376.0
5,2024-08-21T12:22:33+00:00,2024-08-21T12:24:41+00:00,2.13,29,0,0.0,6.0
6,2024-08-27T13:29:52+00:00,2024-08-27T13:31:23+00:00,1.52,20,0,0.0,4.0
7,2024-08-28T08:59:50+00:00,2024-08-28T09:18:16+00:00,18.43,266,144,152.0,376.0
8,2024-08-28T09:25:27+00:00,2024-08-28T09:33:00+00:00,7.55,92,27,91.0,375.0
9,2024-08-28T09:50:23+00:00,2024-08-28T10:08:06+00:00,17.72,247,143,142.0,376.0
10,2024-08-29T07:34:54+00:00,2024-08-29T07:50:02+00:00,15.13,220,99,122.0,376.0
11,2024-08-29T08:01:28+00:00,2024-08-29T08:14:57+00:00,13.48,196,74,128.0,376.0
12,2024-08-29T16:58:06+00:00,2024-08-29T18:30:03+00:00,91.95,1340,1115,253.0,376.0
13,2024-09-02T18:59:08+00:00,2024-09-02T20:20:33+00:00,81.42,1191,1022,241.0,411.0
14,2024-09-03T11:07:10+00:00,2024-09-03T12:21:18+00:00,74.13,1027,356,198.0,376.0
15,2024-09-03T14:56:26+00:00,2024-09-03T14:56:57+00:00,0.52,6,0,0.0,4.0
16,2024-09-04T16:20:14+00:00,2024-09-04T17:01:58+00:00,41.73,610,303,181.0,376.0
17,2024-09-05T04:22:00+00:00,2024-09-05T05:07:58+00:00,45.97,600,308,176.0,376.0
18,2024-09-05T19:32:20+00:00,2024-09-05T21:05:21+00:00,93.02,1358,1226,218.0,376.0
19,2024-09-09T17:47:22+00:00,2024-09-09T19:26:05+00:00,98.72,1379,1191,251.0,411.0
20,2024-09-09T19:45:05+00:00,2024-09-09T19:51:13+00:00,6.13,91,20,176.0,375.0
21,2024-09-10T06:12:32+00:00,2024-09-10T06:15:08+00:00,2.6,34,9,92.0,374.0
22,2024-09-10T06:20:17+00:00,2024-09-10T07:02:07+00:00,41.83,608,469,254.0,411.0
23,2024-09-10T07:14:29+00:00,2024-09-10T07:20:48+00:00,6.32,86,26,115.0,375.0
24,2024-09-10T15:21:34+00:00,2024-09-10T16:18:34+00:00,57.0,833,475,254.0,411.0
25,2024-09-11T07:39:26+00:00,2024-09-11T08:25:38+00:00,46.2,672,557,237.0,376.0
